Scientific name;Country or area;Coordinates;Event date;Occurrence status;Basis of record;Dataset;Kingdom;Phylum;Class;Order;Family;Genus;Species;;family;familyKey;genus;genusKey;species;speciesKey;iucnRedListCategory;Scientific name;Country or area;Coordinates;Event date;Occurrence status;Basis of record;Dataset;Kingdom;Phylum;Class;Order;;
;Tortula muralis Hedw.;Denmark;55.7N, 8.6E;2025 Jan 16;Present;Human observation;Species recordings from the Danish National Portal Arter.dk;Plantae;Bryophyta;Bryopsida;Pottiales;Pottiaceae;Tortula;Tortula muralis;Insecta;216;Lepidoptera;797;Lycaenidae;5473;Maculinea;;Tortula muralis Hedw.;Denmark;55.7N, 8.6E;2025 Jan 16;Present;Human observation;Species recordings from the Danish National Portal Arter.dk;Plantae;Bryophyta;Bryopsida;;
;Ranella australasia (Perry, 1811);Australia;33.8S, 115.0E;2025 Jan 18;Present;Human observation;Earth Guardians Weekly Feed;Animalia;Mollusca;Gastropoda;Littorinimorpha;Ranellidae;Ranella;Ranella australasia;Arthropoda;54;Insecta;216;Lepidoptera;797;Lycaenidae;;Ranella australasia (Perry, 1811);Australia;33.8S, 115.0E;2025 Jan 18;Present;Human observation;Earth Guardians Weekly Feed;Animalia;Mollusca;Gastropoda;;
;Rubus fruticosus L.;Australia;33.2S, 148.3E;2025 Jan 10;Present;Human observation;NSW Biosecurity Information System - Weeds;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;Rubus fruticosus;Arthropoda;54;Insecta;216;Lepidoptera;797;Papilionidae;;Rubus fruticosus L.;Australia;33.2S, 148.3E;2025 Jan 10;Present;Human observation;NSW Biosecurity Information System - Weeds;Plantae;Tracheophyta;Magnoliopsida;;
;Convolvulus angustissimus subsp. angustissimus;Australia;35.4S, 149.1E;2025 Jan 08;Present;Human observation;NatureMapr;Plantae;Tracheophyta;Magnoliopsida;Solanales;Convolvulaceae;Convolvulus;Convolvulus angustissimus;Arthropoda;54;Insecta;216;Lepidoptera;797;Nymphalidae;;Convolvulus angustissimus subsp. angustissimus;Australia;35.4S, 149.1E;2025 Jan 08;Present;Human observation;NatureMapr;Plantae;Tracheophyta;Magnoliopsida;;
;Phragmites australis (Cav.) Trin. ex Steud.;Denmark;55.6N, 12.2E;2025 Jan 22;Present;Human observation;Species recordings from the Danish National Portal Arter.dk;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Phragmites;Phragmites australis;Arthropoda;54;Insecta;216;Odonata;789;Coenagrionidae;;Phragmites australis (Cav.) Trin. ex Steud.;Denmark;55.6N, 12.2E;2025 Jan 22;Present;Human observation;Species recordings from the Danish National Portal Arter.dk;Plantae;Tracheophyta;Liliopsida;;
;Pentanema salicinum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.;Denmark;55.8N, 12.2E;2025 Jan 25;Present;Human observation;Species recordings from the Danish National Portal Arter.dk;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Pentanema;Pentanema salicinum;Arthropoda;54;Insecta;216;Odonata;789;Libellulidae;;Pentanema salicinum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.;Denmark;55.8N, 12.2E;2025 Jan 25;Present;Human observation;Species recordings from the Danish National Portal Arter.dk;Plantae;Tracheophyta;Magnoliopsida;;
;Pheidole Westwood, 1839;Australia;35.3S, 149.1E;2025 Jan 10;Present;Human observation;NatureMapr;Animalia;Arthropoda;Insecta;Hymenoptera;Formicidae;Pheidole;;Lepidoptera;797;Papilionidae;9417;Zerynthia;5141261;Zerynthia;;Pheidole Westwood, 1839;Australia;35.3S, 149.1E;2025 Jan 10;Present;Human observation;NatureMapr;Animalia;Arthropoda;Insecta;;
;Hypericum perforatum L.;Australia;33.7S, 148.3E;2025 Jan 03;Present;Human observation;NSW Biosecurity Information System - Weeds;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum;Hypericum perforatum;Arthropoda;54;Insecta;216;Odonata;789;Cordulegastridae;;Hypericum perforatum L.;Australia;33.7S, 148.3E;2025 Jan 03;Present;Human observation;NSW Biosecurity Information System - Weeds;Plantae;Tracheophyta;Magnoliopsida;;
;? Stigmatium victoriae;Australia;35.4S, 149.0E;2025 Jan 14;Present;Human observation;NatureMapr;Animalia;Arthropoda;Insecta;Coleoptera;Cleridae;Stigmatium;;Arthropoda;54;Insecta;216;Coleoptera;1470;Scarabaeidae;;? Stigmatium victoriae;Australia;35.4S, 149.0E;2025 Jan 14;Present;Human observation;NatureMapr;Animalia;Arthropoda;Insecta;;
;Pavo cristatus Linnaeus, 1758;Australia;35.3S, 149.1E;2025 Jan 12;Present;Human observation;NatureMapr;Animalia;Chordata;Aves;Galliformes;Phasianidae;Pavo;Pavo cristatus;Arthropoda;54;Insecta;216;Coleoptera;1470;Cerambycidae;;Pavo cristatus Linnaeus, 1758;Australia;35.3S, 149.1E;2025 Jan 12;Present;Human observation;NatureMapr;Animalia;Chordata;Aves;;
;Turdus merula Linnaeus, 1758;Denmark;57.0N, 9.9E;2025 Jan 03;Present;Human observation;Species recordings from the Danish National Portal Arter.dk;Animalia;Chordata;Aves;Passeriformes;Turdidae;Turdus;Turdus merula;Arthropoda;54;Insecta;216;Coleoptera;1470;Scarabaeidae;;Turdus merula Linnaeus, 1758;Denmark;57.0N, 9.9E;2025 Jan 03;Present;Human observation;Species recordings from the Danish National Portal Arter.dk;Animalia;Chordata;Aves;;
;Rubus fruticosus L.;Australia;35.4S, 150.0E;2025 Jan 21;Present;Human observation;NSW Biosecurity Information System - Weeds;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;Rubus fruticosus;Arthropoda;54;Insecta;216;Lepidoptera;797;Erebidae;;Rubus fruticosus L.;Australia;35.4S, 150.0E;2025 Jan 21;Present;Human observation;NSW Biosecurity Information System - Weeds;Plantae;Tracheophyta;Magnoliopsida;;
;Pinus sylvestris L.;Germany;49.2N, 7.6E;2025 Jan 11;Present;Human observation;ArtenFinder;Plantae;Tracheophyta;Pinopsida;Pinales;Pinaceae;Pinus;Pinus sylvestris;Arthropoda;54;Insecta;216;Odonata;789;Corduliidae;;Pinus sylvestris L.;Germany;49.2N, 7.6E;2025 Jan 11;Present;Human observation;ArtenFinder;Plantae;Tracheophyta;Pinopsida;;
;Turdus pilaris Linnaeus, 1758;Germany;49.4N, 7.0E;2025 Jan 30;Present;Human observation;ArtenFinder;Animalia;Chordata;Aves;Passeriformes;Turdidae;Turdus;Turdus pilaris;Arthropoda;54;Insecta;216;Lepidoptera;797;Sphingidae;;Turdus pilaris Linnaeus, 1758;Germany;49.4N, 7.0E;2025 Jan 30;Present;Human observation;ArtenFinder;Animalia;Chordata;Aves;;
;Ornithorhynchus anatinus (Shaw, 1799);Australia;42.9S, 147.3E;2025 Jan 02;Present;Human observation;cPlatypus;Animalia;Chordata;Mammalia;Monotremata;Ornithorhynchidae;Ornithorhynchus;Ornithorhynchus anatinus;Arthropoda;54;Insecta;216;Coleoptera;1470;Lucanidae;;Ornithorhynchus anatinus (Shaw, 1799);Australia;42.9S, 147.3E;2025 Jan 02;Present;Human observation;cPlatypus;Animalia;Chordata;Mammalia;;
;Daviesia latifolia R.Br.;Australia;34.6S, 149.8E;2025 Jan 16;Present;Human observation;NatureMapr;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Daviesia;Daviesia latifolia;Arthropoda;54;Insecta;216;Lepidoptera;797;Papilionidae;;Daviesia latifolia R.Br.;Australia;34.6S, 149.8E;2025 Jan 16;Present;Human observation;NatureMapr;Plantae;Tracheophyta;Magnoliopsida;;
;Bufo bufo (Linnaeus, 1758);Germany;49.1N, 8.3E;2025 Jan 27;Present;Human observation;ArtenFinder;Animalia;Chordata;Amphibia;Anura;Bufonidae;Bufo;Bufo bufo;Arthropoda;54;Insecta;216;Lepidoptera;797;Nymphalidae;;Bufo bufo (Linnaeus, 1758);Germany;49.1N, 8.3E;2025 Jan 27;Present;Human observation;ArtenFinder;Animalia;Chordata;Amphibia;;
;Urtica dioica L.;Denmark;55.8N, 12.5E;2025 Jan 02;Present;Human observation;Species recordings from the Danish National Portal Arter.dk;Plantae;Tracheophyta;Magnoliopsida;Rosales;Urticaceae;Urtica;Urtica dioica;Arthropoda;54;Insecta;216;Lepidoptera;797;Nymphalidae;;Urtica dioica L.;Denmark;55.8N, 12.5E;2025 Jan 02;Present;Human observation;Species recordings from the Danish National Portal Arter.dk;Plantae;Tracheophyta;Magnoliopsida;;
;Emydura Bonaparte, 1836;Australia;36.5S, 146.0E;2025 Jan 23;Present;Human observation;TurtleSAT;Animalia;Chordata;Testudines;;Chelidae;Emydura;;Arthropoda;54;Insecta;216;Orthoptera;1458;Tettigoniidae;;Emydura Bonaparte, 1836;Australia;36.5S, 146.0E;2025 Jan 23;Present;Human observation;TurtleSAT;Animalia;Chordata;Testudines;;
;Hypericum perforatum L.;Australia;33.9S, 148.1E;2025 Jan 14;Present;Human observation;NSW Biosecurity Information System - Weeds;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum;Hypericum perforatum;Arthropoda;54;Insecta;216;Odonata;789;Gomphidae;;Hypericum perforatum L.;Australia;33.9S, 148.1E;2025 Jan 14;Present;Human observation;NSW Biosecurity Information System - Weeds;Plantae;Tracheophyta;Magnoliopsida;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5141262;NE;;
